        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , MVDDQ Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 6-Pin #1 Power [W] , 6-Pin #1 Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , USB-C Power Draw [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-06-16 10:17:41 ,        1995.0   ,           1767.5   ,               63.7   ,        77.3   ,                53   ,                     0   ,                53   ,                     0   ,           7519   ,         99   ,                       40   ,                   0   ,                   24   ,              225.0   ,                 179.1   ,               14.1   ,               24.3   ,              40.8   ,                11.7   ,             91.8   ,               11.8   ,             92.2   ,               11.8   ,                0.1   ,                        81.8   ,              16   ,        1.0430   ,               67.0   ,                 21281   ,
2023-06-16 10:17:42 ,        1995.0   ,           1767.5   ,               63.9   ,        77.6   ,                53   ,                     0   ,                53   ,                     0   ,           7521   ,         97   ,                       39   ,                   0   ,                   24   ,              227.9   ,                 181.8   ,               14.1   ,               24.4   ,              41.1   ,                11.7   ,             93.2   ,               11.8   ,             93.4   ,               11.8   ,                0.1   ,                        82.9   ,              16   ,        1.0430   ,               70.0   ,                 21295   ,
2023-06-16 10:17:43 ,        1995.0   ,           1767.5   ,               63.8   ,        77.2   ,                53   ,                     0   ,                53   ,                     0   ,           7517   ,         99   ,                       40   ,                   0   ,                   24   ,              224.5   ,                 178.5   ,               14.1   ,               24.3   ,              40.2   ,                11.7   ,             91.7   ,               11.8   ,             92.3   ,               11.8   ,                0.1   ,                        81.6   ,              16   ,        1.0430   ,               71.0   ,                 21298   ,
2023-06-16 10:17:44 ,        1995.0   ,           1767.5   ,               64.0   ,        77.4   ,                54   ,                     0   ,                54   ,                     0   ,           7524   ,         99   ,                       40   ,                   0   ,                   24   ,              227.4   ,                 181.3   ,               14.2   ,               24.5   ,              41.1   ,                11.7   ,             92.9   ,               11.8   ,             93.2   ,               11.8   ,                0.1   ,                        82.7   ,              16   ,        1.0430   ,               75.0   ,                 21304   ,
2023-06-16 10:17:45 ,        1995.0   ,           1767.5   ,               63.7   ,        77.1   ,                54   ,                     0   ,                54   ,                     0   ,           7525   ,         99   ,                       40   ,                   0   ,                   24   ,              226.0   ,                 179.8   ,               14.2   ,               24.4   ,              40.4   ,                11.7   ,             92.3   ,               11.8   ,             93.0   ,               11.8   ,                0.1   ,                        82.2   ,              16   ,        1.0430   ,               66.0   ,                 21309   ,
2023-06-16 10:17:46 ,        1995.0   ,           1767.5   ,               63.9   ,        77.5   ,                54   ,                     0   ,                54   ,                     0   ,           7526   ,         99   ,                       39   ,                   0   ,                   24   ,              228.2   ,                 181.5   ,               14.2   ,               24.5   ,              41.1   ,                11.7   ,             93.5   ,               11.8   ,             93.3   ,               11.8   ,                0.1   ,                        83.0   ,              16   ,        1.0430   ,               72.0   ,                 21291   ,
2023-06-16 10:17:47 ,        1995.0   ,           1767.5   ,               63.9   ,        77.3   ,                54   ,                     0   ,                54   ,                     0   ,           7525   ,         99   ,                       40   ,                   0   ,                   24   ,              229.5   ,                 183.2   ,               14.2   ,               24.6   ,              41.4   ,                11.7   ,             93.8   ,               11.8   ,             94.0   ,               11.8   ,                0.1   ,                        83.5   ,              16   ,        1.0430   ,               70.0   ,                 21294   ,
2023-06-16 10:17:48 ,        1995.0   ,           1767.5   ,               63.9   ,        77.6   ,                54   ,                     0   ,                54   ,                     0   ,           7528   ,         99   ,                       40   ,                   0   ,                   24   ,              227.5   ,                 181.1   ,               14.2   ,               24.5   ,              40.7   ,                11.7   ,             93.3   ,               11.8   ,             93.2   ,               11.8   ,                0.1   ,                        82.7   ,              16   ,        1.0430   ,               63.0   ,                 21293   ,
2023-06-16 10:17:49 ,        1995.0   ,           1767.5   ,               63.8   ,        77.3   ,                54   ,                     0   ,                54   ,                     0   ,           7531   ,         99   ,                       40   ,                   0   ,                   24   ,              225.8   ,                 179.8   ,               14.2   ,               24.5   ,              40.8   ,                11.7   ,             92.2   ,               11.8   ,             92.5   ,               11.8   ,                0.1   ,                        82.1   ,              16   ,        1.0430   ,               71.0   ,                 21292   ,
2023-06-16 10:17:50 ,        1995.0   ,           1767.5   ,               63.9   ,        77.4   ,                54   ,                     0   ,                54   ,                     0   ,           7526   ,         99   ,                       40   ,                   0   ,                   24   ,              222.7   ,                 177.4   ,               14.1   ,               24.2   ,              40.1   ,                11.7   ,             90.9   ,               11.8   ,             91.5   ,               11.8   ,                0.1   ,                        81.0   ,              16   ,        1.0430   ,               65.0   ,                 21296   ,
2023-06-16 10:17:51 ,        1995.0   ,           1767.5   ,               63.9   ,        77.4   ,                54   ,                     0   ,                54   ,                     0   ,           7462   ,         99   ,                       40   ,                   0   ,                   24   ,              227.2   ,                 181.4   ,               14.2   ,               24.5   ,              40.8   ,                11.7   ,             93.2   ,               11.8   ,             93.0   ,               11.8   ,                0.1   ,                        82.6   ,              16   ,        1.0430   ,               74.0   ,                 21297   ,
2023-06-16 10:17:52 ,        1995.0   ,           1767.5   ,               63.9   ,        77.4   ,                54   ,                     0   ,                54   ,                     0   ,           7465   ,         99   ,                       40   ,                   0   ,                   24   ,              226.9   ,                 180.7   ,               14.2   ,               24.5   ,              41.0   ,                11.7   ,             92.6   ,               11.8   ,             93.0   ,               11.8   ,                0.1   ,                        82.5   ,              16   ,        1.0430   ,               68.0   ,                 21298   ,
2023-06-16 10:17:53 ,        1995.0   ,           1767.5   ,               64.1   ,        77.5   ,                54   ,                     0   ,                54   ,                     0   ,           7467   ,         99   ,                       40   ,                   0   ,                   24   ,              226.1   ,                 180.1   ,               14.2   ,               24.5   ,              40.8   ,                11.7   ,             92.4   ,               11.8   ,             92.6   ,               11.8   ,                0.1   ,                        82.2   ,              16   ,        1.0430   ,               71.0   ,                 21294   ,
2023-06-16 10:17:54 ,        1995.0   ,           1767.5   ,               64.0   ,        77.6   ,                54   ,                     0   ,                54   ,                     0   ,           7468   ,         99   ,                       39   ,                   0   ,                   24   ,              225.1   ,                 179.2   ,               14.1   ,               24.3   ,              40.7   ,                11.7   ,             91.8   ,               11.8   ,             92.3   ,               11.8   ,                0.1   ,                        81.8   ,              16   ,        1.0430   ,               64.0   ,                 21295   ,
2023-06-16 10:17:55 ,        1995.0   ,           1767.5   ,               64.0   ,        77.5   ,                54   ,                     0   ,                54   ,                     0   ,           7470   ,         99   ,                       40   ,                   0   ,                   24   ,              226.8   ,                 180.9   ,               14.2   ,               24.4   ,              40.8   ,                11.7   ,             92.8   ,               11.8   ,             92.9   ,               11.8   ,                0.1   ,                        82.5   ,              16   ,        1.0430   ,               64.0   ,                 21326   ,
2023-06-16 10:17:56 ,        1995.0   ,           1767.5   ,               64.0   ,        77.5   ,                54   ,                     0   ,                54   ,                     0   ,           7470   ,         99   ,                       40   ,                   0   ,                   25   ,              226.8   ,                 180.4   ,               14.1   ,               24.3   ,              40.7   ,                11.7   ,             93.0   ,               11.8   ,             92.7   ,               11.8   ,                0.1   ,                        82.5   ,              16   ,        1.0430   ,               67.0   ,                 21326   ,
2023-06-16 10:17:57 ,        1995.0   ,           1767.5   ,               64.0   ,        77.4   ,                54   ,                     0   ,                54   ,                     0   ,           7465   ,         97   ,                       39   ,                   0   ,                   24   ,              224.5   ,                 178.5   ,               14.1   ,               24.3   ,              40.1   ,                11.7   ,             92.0   ,               11.8   ,             92.1   ,               11.8   ,                0.1   ,                        81.6   ,              16   ,        1.0430   ,               64.0   ,                 21335   ,
2023-06-16 10:17:58 ,        1995.0   ,           1767.5   ,               64.1   ,        77.5   ,                54   ,                     0   ,                54   ,                     0   ,           7473   ,         99   ,                       40   ,                   0   ,                   24   ,              226.4   ,                 179.9   ,               14.1   ,               24.3   ,              40.7   ,                11.7   ,             92.7   ,               11.8   ,             92.7   ,               11.8   ,                0.1   ,                        82.3   ,              16   ,        1.0430   ,               65.0   ,                 21303   ,
2023-06-16 10:17:59 ,        1995.0   ,           1767.5   ,               64.0   ,        77.6   ,                54   ,                     0   ,                54   ,                     0   ,           7475   ,         99   ,                       40   ,                   0   ,                   24   ,              225.6   ,                 179.7   ,               14.2   ,               24.4   ,              40.8   ,                11.7   ,             92.2   ,               11.8   ,             92.4   ,               11.8   ,                0.1   ,                        82.1   ,              16   ,        1.0430   ,               73.0   ,                 21295   ,
2023-06-16 10:18:00 ,        1995.0   ,           1767.5   ,               64.1   ,        77.5   ,                54   ,                     0   ,                54   ,                     0   ,           7475   ,         99   ,                       40   ,                   0   ,                   24   ,              225.9   ,                 179.8   ,               14.2   ,               24.4   ,              41.1   ,                11.7   ,             92.9   ,               11.8   ,             93.2   ,               11.8   ,                0.1   ,                        82.7   ,              16   ,        1.0430   ,               62.0   ,                 21297   ,
2023-06-16 10:18:01 ,        1995.0   ,           1767.5   ,               64.2   ,        77.8   ,                54   ,                     0   ,                54   ,                     0   ,           7476   ,         99   ,                       40   ,                   0   ,                   24   ,              227.3   ,                 181.4   ,               14.1   ,               24.4   ,              41.0   ,                11.7   ,             93.2   ,               11.8   ,             92.9   ,               11.8   ,                0.1   ,                        82.7   ,              16   ,        1.0430   ,               71.0   ,                 21282   ,
2023-06-16 10:18:02 ,        1995.0   ,           1767.5   ,               64.1   ,        77.4   ,                54   ,                     0   ,                54   ,                     0   ,           7477   ,         93   ,                       37   ,                   0   ,                   23   ,              226.2   ,                 180.5   ,               14.1   ,               24.4   ,              40.6   ,                11.7   ,             92.5   ,               11.8   ,             92.9   ,               11.8   ,                0.1   ,                        82.3   ,              16   ,        1.0430   ,               68.0   ,                 21279   ,
